,Herkomst,Titel,Tekst,JEROEN_janee,JEROEN_OPM,SUSAN_janee,SUSAN_OPM,VERGELIJKING,CONCLUSIE,EINDOORDEEL_janee,reinfVec,vecNorm
0,manual_annotation_sample_seed1111,GV_DeJager_ReisvandeRazzia_interview_Welling_conversation_clipped_150_paragraph_248-253_text,"Rotterdammer bent , maar dat ben ik dus niet , best trots zijn op zo' n stad vind ik . Ja . Maar ik voel me geen ... , u moet dus niet denken dat ik me nou pur sang een Rotterdammer voel hoor , dat is niet zo. Nee . Maar om zo een dag uit te gaan in Rotterdam , een vaartochtje te maken , we zijn gisteren ook weer met de metro geweest en met de bus geweest . Ja , dat vind ik .. , dat vind ik heel fijn , ja . Ik hoop het nog lang te kunnen doen .",nee,,nee,,zelfde,,nee,"[ 0.33927363  0.27179043 -0.16801026 -0.20380647  0.13683586  0.08472264
  0.18424188 -0.18145876  0.22445451 -0.00311114  0.01058206  0.12031288
 -0.26398021  0.33625874  0.03873563 -0.05989163  0.05653091  0.16971132
  0.15461932 -0.02199169 -0.36243436  0.04165543  0.04841177 -0.02837305
  0.09280476  0.23569371  0.17932937  0.08360341 -0.1932203   0.04128065
 -0.13684578 -0.11732881  0.45511979 -0.1771264   0.11421824  0.0995436
  0.05680378  0.13380276  0.07739257  0.10761983  0.07975015  0.04996086
 -0.05538582 -0.02385679 -0.19928084 -0.37455796  0.15882851  0.51568201
 -0.1577179  -0.18011839]",1.346456592828215
1,manual_annotation_sample_seed1111,GV_NMKV_Sachsenhausen_01_conversation_clipped_150_paragraph_173-182_text,"Op de blokken stond geschilderd : es gibt nur eine weg zu freiheid ..... En dan stond er middenin een galg . Het maakte een ontzettende indruk op mijn vader en mij . Het was heel anders dan Vught . Waar komen we eigenlijk terecht . Toen zijn we gebracht naar tussen twee barakken in . Ik had veel te vertellen aan mijn vader . Wij waren 7 augustus gevangen genomen en het was nu 7 september . Wij hadden zoveel te bepraten dat we nauwelijks kennis maakten met de andere gevangenen . Mijn vader vertelde toen de geschiedenis die ik niet kende , maar die ik net verteld . Hij was chef van het seinwezen ...... Iemand uit Roosendaal was bij zijn arrestatie . Die was ook in Sachsenhausen en hij heeft me verteld wie dat was . Ik heb verteld over mijn grootvader en dat ik het bekend heb dat het mijn grootvader daar niet zat op die voorkamer .",ja,indirect,ja,twijfel,zelfde,,ja,"[-0.16284064  0.10027723 -0.38268279 -0.15086383 -0.01915314  0.26706837
 -0.13030646 -0.19925655  0.31914362  0.03294852 -0.04579653 -0.09568018
 -0.25194153 -0.15989885 -0.13336261 -0.04517514  0.2105265   0.08377888
  0.10617176 -0.10606162 -0.27820943 -0.03878747 -0.09202768  0.27390203
  0.19896287  0.38577724  0.28559934  0.13979103 -0.14089702  0.08763998
 -0.15093483 -0.31407635  0.30477685  0.24806837 -0.09777014  0.04408616
  0.27188371 -0.10986643  0.2180142   0.31456161  0.21628446  0.20836323
  0.208125   -0.143571   -0.15108767  0.07543454 -0.1319905   0.35731459
  0.05840232 -0.40044154]",1.4566564240549833
2,manual_annotation_sample_seed1111,GV_NIOD_Buchenwald_36_clipped_150_paragraph_556-565_text,En die een kader te ja . Dat was een aantal apparaat het wel . 35 kilo en de zat aan één kans dat die tandrad pop waar we het over gehad hebben en de andere kant staat dus Chinook en 12 nokken erop en daar zou dan iedere kans 6 ventielen en die pompte dan de benzine naar de motor toe . En dat was het hele geval dino kon je nog steeds niet zien . Dus ik moest die pomp helemaal aan elkaar schroeven . En toen kwam Dino kaars voor de dag . Nou ik stond echt zelf ook de vaak te kijken wat ik toen te zien kregen . Als je naast zo' n trap als van de fietsen . En die trapt er Dat zit zo in en op die dia 's van die trap . Als je de plaat kant nadat dat moest een ovalen nog bewijzen nadat was een platte kant uit als je van 6 millimeter van zuidelijk is had afgeslepen dat het niet maar altijd nog naar beneden is gekomen is .,nee,,nee,,zelfde,,nee,"[ 0.04290136  0.13078031  0.03834983 -0.05389607  0.28726107  0.13592864
  0.21457136 -0.37275223  0.08400972  0.182941   -0.01581944 -0.23388229
  0.33490871  0.27116069  0.18207689 -0.27858686 -0.0123331  -0.00356565
 -0.05870568 -0.16187617 -0.16133539  0.37305437 -0.07038307 -0.04145975
 -0.13034323  0.42918587 -0.01737    -0.03018434 -0.04432159 -0.0185548
  0.21679884 -0.01658029  0.3030953  -0.01539613 -0.16687079  0.17874242
 -0.11761478  0.1371428   0.03032447  0.31592162  0.01940946  0.10273194
 -0.14493787 -0.06829461 -0.24211331 -0.38058375 -0.0546214   0.36520347
  0.48692046 -0.23748636]",1.452612906253172
3,manual_annotation_sample_seed1111,GV_Overloon_evacuees_08_conversation_clipped_150_paragraph_79-84_text,"Die onderduiker die met die koe aankwam dat was op een gegeven moment ook dus bij de evacues Ja , die zat bij de , bij een andere buurman , zal ik maar zeggen , bij Rutten was dat . Maar zaten hier veel evacues en zijn al die evacues ook allemaal mee gevlucht Nee Nee , sorry , hier zaten veel Ja , die onderduikers zijn heel veel meegegaan ja , want iedere boer zal ik maar zeggen bij ons hadden we er geen maar bij een wat grotere boer ja dat onderduiken was ook ja iedereen wist dat was eigenlijk toch een beetje een doorzichtig verhaal een onderduiker maar het waren vaak die in een boerderij die boer als knecht werden ingezet en misschien was van de Duitsers uit die landbouw en voer op de tafel ik denk dat dat een rol gespeeld heeft dat ze daar niet zo nauw naar keken als ze maar in de landbouw zaten en dus die boer had misschien wel wat veel knechten maar ja die had ie misschien wel nodig .",nee,,nee,,zelfde,,nee,"[ 0.25582711 -0.16466811 -0.27238359 -0.06067352  0.308008   -0.04862143
 -0.06573493  0.00821907  0.44908215 -0.23706529  0.1106859   0.00361094
  0.02898057 -0.14210488  0.20634489 -0.05136786  0.07549874 -0.27616186
  0.00125243  0.11173982 -0.05846115 -0.27377023 -0.30416286  0.13768249
  0.0163645   0.40988199  0.03764963  0.09772438  0.10952904  0.10562063
 -0.18447541  0.18055803  0.2396979   0.0042504   0.06219306 -0.1236773
  0.20986958  0.18601769  0.22318629  0.33685616 -0.27260335 -0.08603498
  0.44076431  0.03948835 -0.23658536  0.08493905 -0.21526361  0.18024244
 -0.07074761 -0.31027062]",1.4146258748393938
4,manual_annotation_sample_seed1111,GV_Limburg_gastkind_03_conversation_clipped_150_paragraph_84-93_text,"Hebben jullie er na de oorlog nog veel over gesproken ? Nee , niet extra . Nee , dat ging zo als het ging . De eerste jaren . Sarah heeft later zelf het contact hersteld . De eerste jaren hebben we niets van haar gehoord . Zij ging toen naar Israël en ging een nieuw leven beginnen . Ze had het druk genoeg met zichzelf . Maar toen er kinderen kwamen en ze wat ouder werd , heeft ze zelf contact gezocht . Toen is ze regelmatig wel elk jaar op vakantie gekomen . Sarah heeft eerst in Oirlo in een boerderij bij een boer gezeten . Toen schreef ze brieven naar haar ouders . Ik heb begrepen dat die brieven door Nico Dohmen , een van de verzetsmensen , achter gehouden zijn . Die moest de brieven bezorgen bij de ouders en zo. Die werden eerst gelezen , wat er geschreven werd .",nee,,nee,,zelfde,,nee,"[-0.03280709  0.14076125 -0.3153457   0.12111003  0.25834997 -0.10129821
 -0.14951117  0.05771836  0.21786347 -0.44178398  0.00896999  0.01117011
 -0.15833848 -0.19969515  0.59140721 -0.06548205 -0.0408496   0.14779272
  0.03123676 -0.09478312 -0.28762132  0.03521679 -0.18287277  0.2594848
  0.19846404  0.04464836  0.19032913 -0.02218281 -0.08198105  0.20202447
 -0.13615308 -0.13791939  0.29053625  0.21270051  0.03320982 -0.38424467
  0.1791381   0.08928331  0.45795654  0.13043716 -0.01318126 -0.04604904
 -0.1129049  -0.23128716 -0.38846251 -0.26969959  0.28801751  0.32211527
 -0.09149176  0.08190846]",1.523189820637777
5,manual_annotation_sample_seed1111,GV_Zigma_koopvaardij_07_conversation_clipped_150_paragraph_467-477_text,"In ieder konvooi had je een paar van die scheepjes . Nou en die pikken ons op . Dat was om twaalf uur ongeveer . En die hadden al een paar man aan boord van de andere schepen die getorpedeerd waren . Een paar man die waren verbrand bij die tanker . Maar die Laskaren doken meteen in de kooien van die jongens . Van die Engelsman kreeg ik een droog hemdje en een broek , een paar sloffen . Die had mijn broek en hemd bij de machinekamer gehangen , dan kan het drogen . Maar ja goed het was twaalf uur en die boot die zonk niet , die bleef zo drijven Tot het dek zal ik maar zeggen . De rest was onder water . Het water spoelde wel over het dek heen , maar niet helemaal . Toen was het : ' Zijn er liefhebbers of vrijwilligers die terug willen ? ' . Nou ik had me eigen ook opgegeven en nog een paar .",ja,,ja,,zelfde,,ja,"[ 0.4917627   0.24750546 -0.00679181 -0.02770645 -0.01378385  0.62931952
 -0.28316222 -0.34457842  0.43932088 -0.20659245 -0.129914    0.17463604
  0.04375781  0.28146444  0.04283208  0.04497214  0.43213016  0.03023944
  0.3927552   0.13177169 -0.3914298  -0.20574788 -0.18571492 -0.17798287
 -0.10766539  0.43611597  0.13575189  0.24444524 -0.05513628  0.00132939
 -0.17198501 -0.20772626  0.31610689 -0.05457225 -0.23963942  0.21133181
  0.27495272  0.34442203  0.28888471 -0.13632397 -0.17508334  0.07882322
  0.01207924 -0.22735132 -0.1531136  -0.76544401  0.23292323  0.53433716
  0.02851171 -0.3714176 ]",1.980321255584276
6,manual_annotation_sample_seed1111,GV_DeJager_ReisvandeRazzia_interview_Smits_conversation_clipped_150_paragraph_63-68_text,"En als je een schoen aan hebt , dat is een heel gek iets , daar kan je niet meer mee op vooruit , dus ik heb gewoon weer dagenlang erop getraind om op schoenen te lopen en op een .. , op een zondagavond , toen hadden geloof ik nog één of andere jongens hadden een cabaret opge - voerd , toen zijn we met een paar man zijn we gevlucht . In Arnhem , ergens in Arnhem . Nou , en dan komt dan de .. , de moeilijke periode achteraf begrijp ik nog niet dat ik er zo ijskoud onder geweest ben.Toen werd ik ' s nachts werd ik wakker geschopt . We lagen ergens onderweg naar Rotterdam , daar lagen we te slapen . Nou , toen stond er een Duitser stond er met getrokken pistool voor mijn neus . Nou , toen werden we meegenomen .",ja,,ja,,zelfde,,ja,"[-0.00669648  0.17329358 -0.08787585 -0.0801096   0.13107197  0.00340616
  0.27879734 -0.49006888  0.11081215 -0.02808379 -0.23688719  0.12509808
 -0.14650075  0.13799801  0.06295362  0.14889452  0.03463794  0.17061525
 -0.04450377 -0.12258387 -0.344212    0.15319622 -0.18101589 -0.10066811
  0.06786773  0.10346469 -0.26458463 -0.05410751  0.10283446 -0.0949526
 -0.22471947 -0.16277722  0.50396514 -0.05699546  0.12065622  0.16210598
  0.21209539  0.28017141  0.20423248  0.03091656 -0.21748354  0.18510682
 -0.02223002  0.08931923 -0.34214631 -0.34100269  0.22140798  0.30092546
 -0.33442988 -0.13437243]",1.4159253717105431
7,manual_annotation_sample_seed1111,GV_SiteFilms_Java_05_conversation_clipped_150_paragraph_733-741_text,"Maar hoe ze heetten ... Dat is van korte duur geweest , ik geloof één ... nee twee keer ben ik daar geweest , toen vertrokken we alweer uit Bandung , want dan ga je weer van Bandung weer weg . Wij hebben namelijk een betrekkelijk rusteloos gegeven gehad . Ergens naartoe , en daar bleef je dan een bepaalde tijd , en dan moest je weer verkassen naar wat anders . Daar was je ook weer korte tijd . En steeds weer verhuizen En toen u in Bandung was of misschien op andere plekken , werd u wel geconfronteerd met prostitutie Het was er . Het was absoluut zo. Dat maakte je wel mee , maar ik zocht het niet op nee En wat zag u daar wel van , of wat maakte u mee Ja , je kon bepaalde wijken ook , als je dat wilde . Maar ook dat doe je dan niet , want erg vertrouwd was het niet .",nee,,nee,twijfel,zelfde,,nee,"[ 0.04554435  0.28306292  0.12325779 -0.03908624  0.29124537 -0.03110633
  0.10488488 -0.11062026 -0.12281924 -0.38523957 -0.10650533  0.24228913
 -0.00773708 -0.01765451  0.15546952 -0.08709604  0.16731907  0.14471838
  0.37764515  0.1393479  -0.19898791  0.00682988  0.20990425 -0.01327703
  0.05635137  0.08353363  0.14820581  0.04200463 -0.33017093  0.1739127
 -0.19066501 -0.0656613   0.32996878  0.34769967  0.03931004 -0.23032264
  0.13076903  0.32171521  0.20708822 -0.13493217 -0.09959477  0.13397319
  0.06315712 -0.18607497 -0.01605829 -0.09139323  0.37660141  0.30989797
 -0.102108   -0.17206596]",1.3421349613237705
8,manual_annotation_sample_seed1111,GV_KNMG_medici_11_conversation_clipped_150_paragraph_484-493_text,"O u besprak de patiënten met Weterings ? Jazeker . Ja daar was het om begonnen . En om verslag te doen over het ziekenhuis . En om adviezen te krijgen , maar dat gaf-tie niet veel ; adviezen dus ' los je wel op , los je wel op ' . En waren er ook ziektes bij patiënten , ziektes die echt in direct verband stonden met de oorlog ? Kan ik me niet goed ... er zijn natuurlijk stukken uit he , ik bedoel dat kunt u begrijpen he . Er zijn stukken heel helder gebleven en ook stukken die zijn weggezakt . Daar zou ik u geen goed antwoord op kunnen geven . Het was een doorsnee internistenpraktijk . Daar komen we zomenteen nog op , d' r waren een stel hele goede huisartsen in de buurt waar Weterings goed contact mee had en er waren er een paar waar hij helemaal geen contact mee had .",nee,,nee,,zelfde,,nee,"[ 0.32386012  0.21032172 -0.35437076 -0.10632182  0.417808   -0.18214372
  0.20778963 -0.29282422 -0.00902347 -0.12424852 -0.33364303 -0.07454893
 -0.08440098  0.10168505  0.30287902  0.02227006  0.18515289  0.14964938
  0.37202014 -0.31566469 -0.38141273  0.11886066 -0.06086691  0.13635164
  0.13815394  0.49191473  0.25968219 -0.07179678 -0.2588394   0.05442526
 -0.17974307  0.19750968  0.15509198 -0.35331395  0.44635987 -0.16422953
  0.2766574   0.06296377 -0.06189833  0.13966803 -0.31739613 -0.00147305
  0.07445391 -0.17907591 -0.59163773 -0.27830736  0.1687881   0.44009413
 -0.07447751 -0.1378931 ]",1.7629015667153982
9,manual_annotation_sample_seed1111,GV_OVCG_Groningeninoorlogstijd_08_conversation_clipped_150_paragraph_291-304_text,"Dus . Toen kwam er in een keer een hele andere cultuur binnen . Waren dat Limburgers die toen al bevrijd waren ? Want ... Ja , dat moet haast wel , hè . Of waren die ook gevlucht ? Goh , dat weet ik eigenlijk helemaal niet meer . Weet ik ook niet . Die kwamen uit Well . Well , Limburg . Dat moeten we even nakijken . Gaan we een nootje plaatsen . Ja . Of dat zo was . Ja . Of dat nou voor of na ... Wist u eigenlijk , in die periode dat u in Groningen was , in het huis van bewaring en zo , hoe het toen met Alie was ? Nee , eigenlijk niet . Want als ik me niet vergis , hebben wij nog contact gehad met het oog op kleding , van een vriendin van Alie uit Grijpskerk .",nee,,nee,,zelfde,,nee,"[ 0.0638614   0.30725344 -0.11503119 -0.09613467  0.2707442  -0.10664069
  0.25319639 -0.01989255  0.08353278 -0.23526952 -0.00628757  0.25528334
  0.04441663 -0.12261479  0.06985024 -0.084465    0.03215454  0.05432856
  0.13294142 -0.1711963  -0.18428921 -0.04453969  0.24004456  0.15630656
  0.08689287 -0.17935392  0.21220527  0.58450255 -0.13182452  0.02746252
 -0.29852024 -0.01379516  0.01591019 -0.15369753  0.15394185  0.23938974
  0.10452897 -0.19638158 -0.00738745 -0.03135186  0.08654195  0.03780765
 -0.08154066  0.12098541 -0.06439425 -0.08802595  0.12995762 -0.01886647
 -0.10684288  0.04262206]",1.1651090665930235
